Angola,"Kalandula Falls, Malanje","Fortress of São Miguel, Luanda","Tundavala Gap, Lubango","National Museum of Slavery, Luanda"
Argentina,"Iguazu Falls, Puerto Iguazú","Perito Moreno Glacier, El Calafate","Mount Aconcagua, Mendoza","Obelisco, Buenos Aires"
Australia,"Sydney Opera House, Sydney","Great Barrier Reef, Cairns","Uluru, Alice Springs","Twelve Apostles, Melbourne"
Austria,"Schönbrunn Palace, Vienna","Hohensalzburg Fortress, Salzburg","St. Stephen's Cathedral, Vienna","Hallstatt, Salzburg"
Azerbaijan,"Maiden Tower, Baku","Gobustan National Park, Baku","Palace of the Shirvanshahs, Baku","Heydar Aliyev Center, Baku"
Bangladesh,"Lalbagh Fort, Dhaka","Sundarbans, Khulna","Cox's Bazar Beach, Cox's Bazar","Somapura Mahavihara, Naogaon"
Belgium,"Atomium, Brussels","Manneken Pis, Brussels","Gravensteen, Ghent","Belfry of Bruges, Bruges"
Bhutan,"Tiger's Nest, Paro","Punakha Dzong, Punakha","Buddha Dordenma, Thimphu","Tashichho Dzong, Thimphu"
Brazil,"Christ the Redeemer, Rio de Janeiro","Sugarloaf Mountain, Rio de Janeiro","Iguazu Falls, Foz do Iguaçu","Amazon Rainforest, Manaus"
Cameroon,"Mount Cameroon, Buea","Waza National Park, Maroua","Dja Faunal Reserve, Yaoundé","Kribi, Kribi"
Canada,"Niagara Falls, Toronto","CN Tower, Toronto","Banff National Park, Calgary","Old Quebec, Quebec City"
China,"Great Wall of China, Beijing","Terracotta Army, Xi'an","Forbidden City, Beijing","The Bund, Shanghai"
Cambodia,"Angkor Wat, Siem Reap","Bayon Temple, Siem Reap","Royal Palace, Phnom Penh","Killing Fields, Phnom Penh"
Colombia,"Tayrona National Park, Santa Marta","Gold Museum, Bogotá","Salt Cathedral of Zipaquirá, Bogotá","Walled City of Cartagena, Cartagena"
Cuba,"Old Havana, Havana","Varadero Beach, Varadero","El Capitolio, Havana","Morro Castle, Havana"
Czech Republic,"Prague Castle, Prague","Charles Bridge, Prague","Old Town Square, Prague","Sedlec Ossuary, Kutná Hora"
